nodo_id,x,y,electrolinera
1,40.57,71.4,0
2,38.47,76.5,0
3,36.74,78.33,0
4,35.72,70.68,0
5,39.83,77.04,0
6,38.28,75.85,0
7,39.55,68.17,0
8,42.74,74.02,0
9,37.79,73.77,0
10,37.13,77.3,0
11,40.65,70.08,0
12,43.91,71.46,0
13,43.97,68.16,0
14,43.88,73.96,0
15,41.3,78.34,0
16,41.25,72.44,0
17,42.38,79.93,0
18,36.24,74.31,0
19,34.13,78.5,0
20,37.1,75.39,0
21,39.38,73.93,0
22,42.95,68.62,0
23,43.62,75.9,0
24,43.95,78.58,0
25,38.73,76.84,0
26,37.15,71.42,0
27,34.61,70.26,0
28,39.94,77.86,0
29,37.41,77.24,0
30,40.58,79.23,0
31,37.96,74.91,0
32,34.23,77.75,0
33,38.19,69.97,0
34,42.51,73.8,0
35,41.17,74.02,0
36,41.94,72.67,0
37,38.72,78.37,0
38,39.43,73.97,0
39,36.86,76.52,0
40,41.43,77.7,0
41,34.92,75.06,0
42,35.55,69.55,0
43,40.93,72.62,0
44,39.87,69.45,0
45,43.68,74.38,0
46,43.9,79.05,0
47,37.59,72.99,0
48,38.38,73.83,0
49,37.57,69.44,0
50,41.25,77.03,0
51,38.65,71.37,0
52,42.81,73.51,0
53,40.52,73.17,0
54,37.63,72.16,0
55,43.82,71.15,0
56,34.66,78.28,0
57,34.53,74.84,0
58,36.81,68.49,0
59,36.47,72.87,0
60,34.61,68.74,0
61,40.39,79.32,0
62,43.02,75.26,0
63,36.8,70.05,0
64,37.43,72.36,0
65,35.56,77.88,0
66,40.9,72.41,0
67,37.24,79.88,0
68,34.15,73.21,0
69,42.57,68.22,0
70,42.85,75.12,0
71,40.52,69.12,0
72,34.8,69.13,0
73,34.7,74.53,0
74,37.14,69.34,0
75,36.7,69.94,0
76,42.96,73.46,0
77,35.4,73.36,0
78,35.73,76.37,0
79,35.42,73.81,0
80,34.8,73.82,0
81,39.32,71.68,0
82,38.83,74.26,0
83,36.93,71.48,0
84,37.31,79.18,0
85,41.28,71.8,0
