nodo1,nodo2,tiempo,variacion_energia,variacion_temperatura
15,16,5.005111975416832,8.337164077454155,-5.022597631185635
16,17,1.3546013604791562,3.1175170928217364,-3.0818965269805414
7,20,3.132563661136391,1.9283736643180975,-6.543217951413139
4,16,4.797230708794842,1.1479984126690006,-0.4564209975006754
7,10,1.2124313616298026,2.3804452061039765,6.165506013251786
1,17,8.945777044555385,8.631055644576307,7.501925236484354
1,11,9.267656606157372,8.934931985637338,-8.529728616852726
1,18,2.114125408071589,3.917267346558588,-8.02921312733554
10,17,4.531970696696487,8.880713431780567,3.80088679522296
9,10,9.260697401510454,9.077610022511454,2.5503212072465544
7,18,9.29881570889134,6.331478068189824,8.443046140304556
6,17,6.402906259199645,6.656135479986028,8.308277527771825
1,20,4.989343339206877,2.865034929771605,0.0746062430307255
13,16,8.451685822558456,6.766031389357718,9.012259175214249
6,7,8.698654483150978,3.691968402584249,-0.4986827741298967
8,17,2.559879694881856,5.169285002823145,8.57368654962158
7,13,1.1892781590534238,1.0248012620830478,-2.7346066091623333
4,17,9.248830521299906,9.64372530336474,-6.70286087464971
4,7,4.7927249609445255,1.3350868847159585,5.859358210967942
3,9,8.814445728136715,5.7534791751754994,-9.06947724625432
2,14,5.701616272335163,3.550186297588697,-4.784216315074579
2,8,4.525612082218181,3.8643982585919368,-2.644614293734193
12,14,5.948899680066189,4.9512766009999645,3.585566675654104
6,19,4.694280343120227,8.377704415661217,-5.365814708158534
4,19,8.579468293514568,4.226668084053288,9.994543466763254
9,13,3.6560505184454657,5.978247614062625,-6.026971628015012
8,20,9.19037380563987,3.430394443285721,-8.299384323537497
2,3,5.926218539797645,5.179591619331127,-9.930902432682611
3,12,3.8579224128212526,7.849232372096498,1.9257445846889745
5,11,2.681516281037494,4.251943363976379,-3.0278785406958413
13,20,6.1165751389433085,1.3532211107304666,-2.643767559206696
4,18,4.266729491126216,3.044728859722664,-2.51164386608969
1,7,5.821965379977752,3.2231441448232685,9.69206240376838
9,18,2.90596540924008,7.141866616699364,-6.09459920624581
14,15,8.035900640944773,4.998812348551299,-6.921123337847634
13,15,5.418885379188055,1.7229737857770049,2.379789138115653
5,14,9.051759778559475,1.5147068137150548,4.555635971806378
8,9,3.969698462270984,5.501732158901344,-4.055892174499158
3,18,9.106655047907472,8.58158081360529,0.2645202247849063
2,19,3.255006013929868,7.093495869884484,-3.2892620027993686
8,15,3.291364998189778,6.568582128903751,-1.2823676456146984
4,11,7.5126500874073985,8.574085680079783,4.218524700228299
12,20,7.584123385209915,2.2395791887792647,5.200993192210799
5,12,6.956097618750647,2.6453006129654546,-3.3599784632484253
4,20,1.9847975904281767,1.8326445021065496,-5.237878506808277
2,13,8.021300521443862,9.08275435404106,8.248666310014528
9,14,6.776422844333442,2.855141126813164,-4.244862713374693
11,19,7.940460205650994,5.0375110841490525,-7.686876731884668
13,17,7.147945667040377,3.892871997483213,-5.317099966408656
2,15,1.8691991461555388,2.412683863395488,-9.882517937831288
11,20,4.613177126515815,7.441157137946181,-0.12655224786225
1,14,3.613578270694616,3.464122908957709,-6.919342267658097
3,8,9.591226765986384,1.7146432474709976,6.9162917984686665
15,19,2.4074826942087784,9.865550402548052,3.9148541598541726
4,6,5.815181244747746,4.975455872225389,6.3124161032552415
6,20,8.57485111425639,2.855897451756428,-5.476754234374262
6,15,2.0434138484504123,2.64967390611763,8.452169764954046
2,10,4.7783101534131545,7.1796411257422905,5.6239897374916055
3,5,2.186649328388238,9.724338215268778,-6.738182416134942
8,14,3.78759484823942,6.875879023006913,0.9764023832365218
12,15,3.562123056805544,8.396116078571168,0.7818029571823004
9,19,9.40205162702358,8.097574672956931,-8.09209401997692
17,19,6.385949734162219,2.133277883371328,-3.1392587390316207
10,15,8.033179223888379,5.369660881869725,8.473257305564758
1,4,8.51935918876779,6.279112672491285,-5.337825656119266
3,13,2.9250106225116657,9.330258619867738,-4.577214912791947
